mard_code,group,number,hex,r,g,b
R19,R,19,#CDE55D,205,229,93
A20,A,20,#FFD568,255,213,104
B20,B,20,#C2F0CC,194,240,204
C20,C,20,#176DAF,23,109,175
D20,D,20,#9C32B2,156,50,178
E20,E,20,#D8C7D1,216,199,209
F20,F,20,#CD9391,205,147,145
G20,G,20,#A94023,169,64,35
H20,H,20,#949FA3,148,159,163
P20,P,20,#FEBECF,254,190,207
R20,R,20,#E8C7B4,232,199,180
A21,A,21,#FFE395,255,227,149
B21,B,21,#156A6B,21,106,107
C21,C,21,#BEDDFF,190,221,255
D21,D,21,#9A009B,154,0,155
E21,E,21,#BD9DA1,189,157,161
F21,F,21,#F7B4C6,247,180,198
G21,G,21,#B88558,184,133,88
H21,H,21,#FFFBE1,255,251,225
P21,P,21,#ECBEBF,236,190,191
R21,R,21,#AD6F3C,173,111,60
A22,A,22,#F4F57D,244,245,125
B22,B,22,#0B3C43,11,60,67
C22,C,22,#67B4BE,103,180,190
D22,D,22,#333A95,51,58,149
E22,E,22,#B785A1,183,133,161
F22,F,22,#FDC0D0,253,192,208
H22,H,22,#CACAD4,202,202,212
P22,P,22,#E4A89F,228,168,159
R22,R,22,#6C372F,108,55,47
A23,A,23,#E6C9B7,230,201,183
B23,B,23,#303A21,48,58,33
C23,C,23,#C8E2FF,200,226,255
D23,D,23,#EBDAFC,235,218,252
E23,E,23,#937A8D,147,122,141
F23,F,23,#F67E66,246,126,102
H23,H,23,#9A9D94,154,157,148
P23,P,23,#A56268,165,98,104
R23,R,23,#FEB872,254,184,114
A24,A,24,#F7F8A2,247,248,162
B24,B,24,#EEFCA5,238,252,165
C24,C,24,#7CC4FF,124,196,255
D24,D,24,#7786E5,119,134,229
E24,E,24,#E1BCE8,225,188,232
F24,F,24,#E698AA,230,152,170
R24,R,24,#F3C1C0,243,193,192
A25,A,25,#FFD67D,255,214,125
B25,B,25,#4E846D,78,132,109
C25,C,25,#A9E5E5,169,229,229
D25,D,25,#494FC7,73,79,199
F25,F,25,#E54B4F,229,75,79
R25,R,25,#C9675E,201,103,94
A26,A,26,#FFC830,255,200,48
B26,B,26,#8D7A35,141,122,53
C26,C,26,#3CAED8,60,174,216
D26,D,26,#DFC2F8,223,194,248
R26,R,26,#D293BE,210,147,190
B27,B,27,#CCE1AF,204,225,175
C27,C,27,#D3DFFA,211,223,250
R27,R,27,#EA8CB1,234,140,177
B28,B,28,#9EE5B9,158,229,185
C28,C,28,#BBCFED,187,207,237
R28,R,28,#9C87D6,156,135,214
B29,B,29,#C5E254,197,226,84
C29,C,29,#34488E,52,72,142
B30,B,30,#E2FCB1,226,252,177
B31,B,31,#B0E792,176,231,146
B32,B,32,#9CAB5A,156,171,90
